P,TB,TB,TB,P,TB,TB,TB,P,TB,TB,TB,P,TB,TB,TB,P
L,,L,,L,,L,,L,,L,,L,,L,,L
PL,LE,LEL,LE,PL,C,CL,C,PL,,L,,L,,L,,L
L,,L,,L,,L,,L,,L,,L,,L,,L
PL,C,CL,C,PL,,L,,PL,P,PL,P,PL,LE,LEL,LE,PL
L,,L,,L,,L,,L,,L,,L,,L,,L
L,,L,,PL,LE,LEL,LE,PL,,L,,PL,C,CL,C,PL
L,,L,,L,,L,,L,,L,,L,,L,,L
PL,BB,BBL,BB,PL,P,PL,P,PL,P,PL,P,PL,BB,BBL,BB,PL
,,,,,,L,,L,,L,,,,,,
,,,,,,L,,PL,C,CL,C,P,,,,
,,,,,,L,,L,,L,,,,,,
,,,,P,P,PL,P,PL,,L,,,,,,
,,,,,,L,,L,,L,,,,,,
,,,,,,L,,PL,LE,LEL,LE,P,,,,
,,,,,,L,,L,,L,,,,,,
,,,,P,BB,BBL,BB,PL,BB,BBL,BB,P,,,,
,,,,,,,,L,,,,,,,,
,,,,,,,,L,,,,,,,,
,,,,,,,,PL,,,,,,,,
