P  ,TB ,TB ,TB ,P  ,TB ,TB ,TB ,P  ,TB ,TB ,TB ,P  ,TB ,TB ,TB ,p  
L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  
PL ,LE ,LEL,LE ,PL ,T  ,CL ,T  ,PL ,   ,L  ,   ,L  ,   ,L  ,   ,L
L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L
PL ,C  ,CL ,C  ,PL ,   ,L  ,   ,PL ,P  ,PL ,P  ,PL ,LE ,LEL,LE ,PL
L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  
L  ,   ,L  ,   ,PL ,LE ,LEL,LE ,PL ,   ,L  ,   ,PL ,C  ,CL ,C  ,PL
L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L  ,   ,L
PL ,BB ,BBL,BB ,PL ,P  ,PL ,P  ,PL ,P  ,PL ,P  ,PL ,BB ,BBL,BB ,PL
   ,   ,_  ,   ,   ,   ,L  ,   ,L  ,   ,L  ,   ,   ,   ,_  ,   ,
   ,   ,_  ,   ,   ,   ,L  ,   ,PL ,C  ,CL ,C  ,P  ,   ,_  ,   ,
   ,   ,_  ,   ,   ,   ,L  ,   ,L  ,   ,L  ,   ,   ,   ,_  ,   ,
   ,   ,_  ,   ,P  ,P  ,PL ,P  ,PL ,   ,L  ,   ,   ,   ,_  ,   ,
   ,PT ,PT ,PT ,   ,   ,L  ,   ,L  ,   ,L  ,   ,   ,PT ,PT ,PT ,
   ,   ,   ,   ,   ,   ,L  ,   ,PL ,LE ,LEL,LE ,P  ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,L  ,   ,L  ,   ,L  ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,P  ,BB ,BBL,BB ,PL ,BB ,BBL,BB ,P  ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,_  ,   ,L  ,   ,_  ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,_  ,   ,L  ,   ,_  ,   ,   ,   ,   ,   , 
   ,   ,   ,   ,   ,   ,_  ,   ,PL  ,   ,_  ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,_  ,   ,   ,   ,_  ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,PT ,PT ,PT ,   ,PT ,PT ,PT ,   ,   ,   ,   ,
